Num Instance;# stations;# périodes;p;Val BSUP He;CPU BSUP He;Val NS 20;CPU NS 20;Val NS 50;CPU NS 50;Val NS 100;CPU NS 100;Val St(3);# etats St(3);CPU St(3);Val St(2);# etats St(2);CPU St(2);Val St(1);# etats St(1);CPU St(1);Val St(0);# etats St(0);CPU St(0);;;;VAL PL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;21;&;169;&;29,01;&;0,014;&;141;&;7,63;&;0;&;131;&;0;&;0,001;&;131;&;0;&;0,001;\\ \hline;21;&;131;&;0;&;61;&;0;&;131;&;554;&;0,004;&;4329;&;0,023;&;4604;&;0,027;\\ \hline
L'instance 31 est l'instance 0;;;;;;;;;;;;;;;;;;;;;;;;;22;&;199;&;31,79;&;0,012;&;171;&;13,25;&;0;&;155;&;2,65;&;0,001;&;155;&;2,65;&;0,002;\\ \hline;22;&;155;&;2,65;&;161;&;0,004;&;151;&;1739;&;0,013;&;4241;&;0,035;&;4820;&;0,042;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;23;&;173;&;20,14;&;0,012;&;152;&;5,56;&;0,001;&;149;&;3,47;&;0,002;&;144;&;0;&;0,004;\\ \hline;23;&;144;&;0;&;63;&;0,001;&;144;&;2213;&;0,027;&;129720;&;15,383;&;131744;&;15,913;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;24;&;211;&;50,71;&;0,014;&;198;&;41,43;&;0,001;&;160;&;14,29;&;0,002;&;155;&;10,71;&;0,003;\\ \hline;24;&;140;&;0;&;321;&;0,014;&;140;&;2155;&;0,033;&;4748;&;0,056;&;4865;&;0,07;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;25;&;194;&;20,5;&;0,009;&;184;&;14,29;&;0,001;&;172;&;6,83;&;0,003;&;161;&;0;&;0,004;\\ \hline;25;&;161;&;0;&;48;&;0,001;&;161;&;406;&;0,009;&;82005;&;9,617;&;83001;&;9,746;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;26;&;237;&;33,15;&;0,011;&;220;&;23,6;&;0,002;&;209;&;17,42;&;0,003;&;199;&;11,8;&;0,007;\\ \hline;26;&;181;&;1,69;&;198;&;0,012;&;178;&;9960;&;0,263;&;13761;&;0,647;&;19072;&;0,838;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;27;&;258;&;16,22;&;0,003;&;226;&;1,8;&;0,001;&;222;&;0;&;0,001;&;222;&;0;&;0,002;\\ \hline;27;&;222;&;0;&;126;&;0,001;&;222;&;1732;&;0,008;&;7914;&;0,071;&;14375;&;0,172;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;28;&;240;&;25;&;0,003;&;219;&;14,06;&;0,002;&;207;&;7,81;&;0,003;&;200;&;4,17;&;0,005;\\ \hline;28;&;192;&;0;&;87;&;0,003;&;192;&;1607;&;0,023;&;37060;&;4,234;&;39376;&;4,438;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;29;&;715;&;11,02;&;0,003;&;702;&;9,01;&;0,003;&;683;&;6,06;&;0,007;&;680;&;5,59;&;0,01;\\ \hline;29;&;661;&;2,64;&;286;&;0,037;&;644;&;263867;&;329,665;&;1410815;&;3910,25;&;1344462;&;4321,23;\\ \hline
;;;;;;;;;;;;;;;;;;;;;;;;;30;&;1231;&;8,08;&;0,003;&;1212;&;6,41;&;0,003;&;1191;&;4,57;&;0,005;&;1178;&;3,42;&;0,009;\\ \hline;30;&;1149;&;0,88;&;148;&;0,017;&;1139;&;326094;&;127,003;&;716815;&;3810,17;&;1024128;&;3676,93;\\ \hline
